Flat_type,Storey_range,Floor_area_sqm,Remaining_months,Resale_price
3 ROOM,01 TO 03,65,825,340000
3 ROOM,04 TO 06,67,786,410000
3 ROOM,04 TO 06,67,783,355000
3 ROOM,07 TO 09,68,650,239000
4 ROOM,07 TO 09,84,808,455000
4 ROOM,04 TO 06,103,827,530888
4 ROOM,01 TO 03,89,797,480000
4 ROOM,10 TO 12,84,794,550000
4 ROOM,01 TO 03,84,789,470000
4 ROOM,04 TO 06,89,794,548000
4 ROOM,07 TO 09,105,794,668000
4 ROOM,04 TO 06,88,823,520000
4 ROOM,19 TO 21,116,875,655000
4 ROOM,25 TO 27,114,875,738000
4 ROOM,01 TO 03,112,872,575000
4 ROOM,04 TO 06,105,871,558000
4 ROOM,04 TO 06,95,1104,735000
4 ROOM,31 TO 33,95,1104,830000
4 ROOM,04 TO 06,104,875,570000
4 ROOM,19 TO 21,95,1103,810000
4 ROOM,01 TO 03,104,875,580000
4 ROOM,07 TO 09,105,845,575000
4 ROOM,07 TO 09,84,811,483000
5 ROOM,04 TO 06,133,807,735000
5 ROOM,07 TO 09,121,806,730000
5 ROOM,07 TO 09,122,820,725000
5 ROOM,19 TO 21,121,822,728000
5 ROOM,01 TO 03,122,828,630000
5 ROOM,07 TO 09,121,815,760000
5 ROOM,13 TO 15,121,828,778000
5 ROOM,10 TO 12,132,872,850000
5 ROOM,01 TO 03,121,875,818000
5 ROOM,28 TO 30,120,1104,1080000
5 ROOM,16 TO 18,120,1103,990000
5 ROOM,22 TO 24,120,1103,1000000
5 ROOM,04 TO 06,121,790,750000
5 ROOM,10 TO 12,121,783,711000
5 ROOM,01 TO 03,121,783,708000
5 ROOM,16 TO 18,120,846,730000
5 ROOM,22 TO 24,120,801,718000
5 ROOM,19 TO 21,120,801,750000
5 ROOM,04 TO 06,125,845,720000
5 ROOM,04 TO 06,136,649,515000
EXECUTIVE,07 TO 09,142,810,900000
EXECUTIVE,01 TO 03,146,872,875000
EXECUTIVE,04 TO 06,146,871,890000
3 ROOM,07 TO 09,64,795,417000
3 ROOM,01 TO 03,65,649,260000
4 ROOM,07 TO 09,84,813,465000
4 ROOM,04 TO 06,84,833,395000
4 ROOM,10 TO 12,83,806,465000
4 ROOM,10 TO 12,105,793,673000
4 ROOM,10 TO 12,84,795,548000
4 ROOM,07 TO 09,104,874,585000
4 ROOM,07 TO 09,105,871,605000
4 ROOM,10 TO 12,113,870,613000
4 ROOM,22 TO 24,102,944,755000
4 ROOM,01 TO 03,113,871,581888
4 ROOM,10 TO 12,104,874,609000
4 ROOM,04 TO 06,104,874,572000
4 ROOM,01 TO 03,106,873,518000
4 ROOM,07 TO 09,97,788,573000
4 ROOM,07 TO 09,89,802,522000
4 ROOM,04 TO 06,105,845,548000
5 ROOM,04 TO 06,122,817,610000
5 ROOM,01 TO 03,121,805,665000
5 ROOM,04 TO 06,121,828,710000
5 ROOM,07 TO 09,131,820,760000
5 ROOM,01 TO 03,121,807,680000
5 ROOM,01 TO 03,121,807,695000
5 ROOM,01 TO 03,131,827,590000
5 ROOM,01 TO 03,121,807,748000
5 ROOM,04 TO 06,131,874,745000
5 ROOM,10 TO 12,133,874,780000
5 ROOM,34 TO 36,120,1103,1076000
5 ROOM,01 TO 03,120,1102,857500
5 ROOM,10 TO 12,121,785,720000
EXECUTIVE,22 TO 24,163,807,996000
EXECUTIVE,22 TO 24,163,814,1138000
EXECUTIVE,22 TO 24,150,814,1098888
EXECUTIVE,01 TO 03,149,871,850000
EXECUTIVE,01 TO 03,149,838,830000
3 ROOM,07 TO 09,64,821,375000
3 ROOM,01 TO 03,67,780,367000
3 ROOM,04 TO 06,67,784,420000
4 ROOM,04 TO 06,84,808,420000
4 ROOM,07 TO 09,103,838,703000
4 ROOM,07 TO 09,84,815,458000
4 ROOM,07 TO 09,83,811,530000
4 ROOM,13 TO 15,104,794,650000
4 ROOM,04 TO 06,84,792,480000
4 ROOM,07 TO 09,84,794,495000
4 ROOM,10 TO 12,84,795,448000
4 ROOM,01 TO 03,103,825,515000
4 ROOM,04 TO 06,104,819,492000
4 ROOM,07 TO 09,103,826,548000
4 ROOM,04 TO 06,104,873,541000
4 ROOM,25 TO 27,95,1102,820000
4 ROOM,04 TO 06,100,943,618000
4 ROOM,19 TO 21,95,1102,795000
4 ROOM,04 TO 06,104,873,538000
4 ROOM,10 TO 12,92,784,523000
4 ROOM,10 TO 12,103,842,562000
5 ROOM,04 TO 06,122,816,632000
5 ROOM,16 TO 18,121,806,815000
5 ROOM,04 TO 06,123,825,675000
5 ROOM,16 TO 18,121,811,785000
5 ROOM,04 TO 06,139,869,850000
5 ROOM,04 TO 06,133,869,758000
5 ROOM,16 TO 18,121,944,813888
5 ROOM,10 TO 12,134,873,650000
5 ROOM,04 TO 06,123,845,675000
EXECUTIVE,22 TO 24,150,811,1010000
EXECUTIVE,01 TO 03,158,788,948000
EXECUTIVE,07 TO 09,158,788,1050000
3 ROOM,10 TO 12,64,808,363000
4 ROOM,10 TO 12,84,825,450000
4 ROOM,07 TO 09,104,824,525000
4 ROOM,01 TO 03,84,811,410000
4 ROOM,10 TO 12,83,811,440000
4 ROOM,04 TO 06,84,806,470000
4 ROOM,07 TO 09,83,813,510000
4 ROOM,10 TO 12,84,806,555000
4 ROOM,01 TO 03,83,814,515000
4 ROOM,10 TO 12,114,872,650000
4 ROOM,07 TO 09,105,869,590000
4 ROOM,01 TO 03,105,869,535000
4 ROOM,04 TO 06,104,872,518888
4 ROOM,19 TO 21,102,942,738888
4 ROOM,01 TO 03,104,872,430000
5 ROOM,01 TO 03,122,815,500000
5 ROOM,10 TO 12,121,806,795000
5 ROOM,10 TO 12,120,1101,980000
EXECUTIVE,10 TO 12,175,842,990000
3 ROOM,01 TO 03,64,789,370000
3 ROOM,10 TO 12,64,819,360000
3 ROOM,07 TO 09,67,785,446000
3 ROOM,04 TO 06,64,799,340000
4 ROOM,07 TO 09,84,813,470000
4 ROOM,04 TO 06,93,827,468888
4 ROOM,10 TO 12,84,793,505000
4 ROOM,07 TO 09,103,823,515000
4 ROOM,07 TO 09,84,791,500000
4 ROOM,07 TO 09,84,790,525000
4 ROOM,07 TO 09,84,810,478000
4 ROOM,10 TO 12,83,816,565000
4 ROOM,10 TO 12,83,817,560000
4 ROOM,04 TO 06,103,871,618000
4 ROOM,10 TO 12,116,871,648000
4 ROOM,07 TO 09,104,871,568000
4 ROOM,07 TO 09,103,871,600000
4 ROOM,04 TO 06,114,871,550000
4 ROOM,04 TO 06,106,871,535000
4 ROOM,04 TO 06,103,868,550000
4 ROOM,07 TO 09,112,871,614000
4 ROOM,01 TO 03,105,870,568000
4 ROOM,04 TO 06,103,871,530000
4 ROOM,13 TO 15,102,871,610000
4 ROOM,16 TO 18,102,870,630000
4 ROOM,04 TO 06,103,871,548000
4 ROOM,04 TO 06,104,871,548000
4 ROOM,07 TO 09,104,871,625000
4 ROOM,31 TO 33,95,1100,820000
4 ROOM,28 TO 30,95,1099,818000
5 ROOM,07 TO 09,121,811,660000
5 ROOM,07 TO 09,122,815,718000
5 ROOM,19 TO 21,123,941,820000
5 ROOM,19 TO 21,123,941,700000
5 ROOM,04 TO 06,121,783,800000
EXECUTIVE,10 TO 12,146,805,950000
EXECUTIVE,01 TO 03,146,871,770000
EXECUTIVE,07 TO 09,151,871,780000
EXECUTIVE,10 TO 12,148,868,930000
3 ROOM,01 TO 03,70,790,359000
3 ROOM,04 TO 06,67,782,403000
3 ROOM,10 TO 12,67,778,435000
3 ROOM,04 TO 06,67,778,408000
3 ROOM,07 TO 09,65,644,260000
4 ROOM,07 TO 09,84,793,460000
4 ROOM,01 TO 03,109,822,450000
4 ROOM,10 TO 12,84,791,550000
4 ROOM,07 TO 09,84,791,503000
